dataset	dataset_label	k	method	kmer_count	component	compressor	compression_setting	size_bytes	bits_per_kmer
E._coli_pangenome	E. coli pangenome	15	eulertigs	188704463	mask	geco3	basic	10117469	0.4289233583203594
E._coli_pangenome	E. coli pangenome	15	eulertigs	188704463	superstring	geco3	basic	110256027	4.674230815621992
E._coli_pangenome	E. coli pangenome	15	eulertigs	188704463	mask	geco3	max	10089864	0.4277530627349285
E._coli_pangenome	E. coli pangenome	15	eulertigs	188704463	superstring	geco3	max	108733618	4.609689300247234
E._coli_pangenome	E. coli pangenome	15	eulertigs	188704463	mask	xz	basic	11327480	0.48022096859468555
E._coli_pangenome	E. coli pangenome	15	eulertigs	188704463	superstring	xz	basic	115984228	4.917074081072475
E._coli_pangenome	E. coli pangenome	15	eulertigs	188704463	mask	xz	max	11894013	0.5042387577234991
E._coli_pangenome	E. coli pangenome	15	eulertigs	188704463	superstring	xz	max	116654120	4.945473706151826
E._coli_pangenome	E. coli pangenome	15	greedy-maxone	188704463	mask	geco3	basic	10113689	0.42876310773847465
E._coli_pangenome	E. coli pangenome	15	greedy-maxone	188704463	superstring	geco3	basic	55026208	2.332799431458068
E._coli_pangenome	E. coli pangenome	15	greedy-maxone	188704463	mask	geco3	max	10091944	0.427841242949299
E._coli_pangenome	E. coli pangenome	15	greedy-maxone	188704463	superstring	geco3	max	51872637	2.199105889721326
E._coli_pangenome	E. coli pangenome	15	greedy-maxone	188704463	mask	xz	basic	13516344	0.573016399723413
E._coli_pangenome	E. coli pangenome	15	greedy-maxone	188704463	superstring	xz	basic	60208292	2.552490430499251
E._coli_pangenome	E. coli pangenome	15	greedy-maxone	188704463	mask	xz	max	12533532	0.531350739701371
E._coli_pangenome	E. coli pangenome	15	greedy-maxone	188704463	superstring	xz	max	60259460	2.554659663772764
E._coli_pangenome	E. coli pangenome	15	greedy-minrun	188704463	mask	geco3	basic	9936486	0.4212507046004524
E._coli_pangenome	E. coli pangenome	15	greedy-minrun	188704463	superstring	geco3	basic	55026208	2.332799431458068
E._coli_pangenome	E. coli pangenome	15	greedy-minrun	188704463	mask	geco3	max	9861634	0.41807740392446363
E._coli_pangenome	E. coli pangenome	15	greedy-minrun	188704463	superstring	geco3	max	51872637	2.199105889721326
